PID,Arrival,Burst,Start,Finish,Response,Turnaround,Waiting
P1,0,30,0,80,0,80,50
P2,1,2,2,4,1,3,1
P3,3,2,4,6,1,3,1
P4,5,2,6,8,1,3,1
P5,7,2,8,10,1,3,1
P6,9,2,10,12,1,3,1
P7,11,2,14,16,3,5,3
P8,13,2,16,18,3,5,3
P9,15,2,18,20,3,5,3
P10,17,2,20,22,3,5,3
P11,19,2,22,24,3,5,3
P12,21,2,26,28,5,7,5
P13,23,2,28,30,5,7,5
P14,25,2,30,32,5,7,5
P15,27,2,32,34,5,7,5
P16,29,2,34,36,5,7,5
P17,31,2,38,40,7,9,7
P18,33,2,40,42,7,9,7
P19,35,2,42,44,7,9,7
P20,37,2,44,46,7,9,7
P21,39,2,46,48,7,9,7
P22,41,2,50,52,9,11,9
P23,43,2,52,54,9,11,9
P24,45,2,54,56,9,11,9
P25,47,2,56,58,9,11,9
P26,49,2,58,60,9,11,9
AVG,,,,,4.81,9.81,6.73
