PID,Arrival,Burst,Start,Finish,Response,Turnaround,Waiting
P1,0,30,0,30,0,30,0
P2,1,2,30,32,29,31,29
P3,3,2,32,34,29,31,29
P4,5,2,34,36,29,31,29
P5,7,2,36,38,29,31,29
P6,9,2,38,40,29,31,29
P7,11,2,40,42,29,31,29
P8,13,2,42,44,29,31,29
P9,15,2,44,46,29,31,29
P10,17,2,46,48,29,31,29
P11,19,2,48,50,29,31,29
P12,21,2,50,52,29,31,29
P13,23,2,52,54,29,31,29
P14,25,2,54,56,29,31,29
P15,27,2,56,58,29,31,29
P16,29,2,58,60,29,31,29
P17,31,2,60,62,29,31,29
P18,33,2,62,64,29,31,29
P19,35,2,64,66,29,31,29
P20,37,2,66,68,29,31,29
P21,39,2,68,70,29,31,29
P22,41,2,70,72,29,31,29
P23,43,2,72,74,29,31,29
P24,45,2,74,76,29,31,29
P25,47,2,76,78,29,31,29
P26,49,2,78,80,29,31,29
AVG,,,,,27.88,30.96,27.88
