PID,Arrival,Burst,Start,Finish,Response,Turnaround,Waiting
P1,0,30,0,80,0,80,50
P2,1,2,2,4,1,3,1
P3,3,2,4,6,1,3,1
P4,5,2,6,8,1,3,1
P5,7,2,8,10,1,3,1
P6,9,2,10,12,1,3,1
P7,11,2,12,14,1,3,1
P8,13,2,14,16,1,3,1
P9,15,2,16,18,1,3,1
P10,17,2,18,20,1,3,1
P11,19,2,20,22,1,3,1
P12,21,2,22,24,1,3,1
P13,23,2,24,26,1,3,1
P14,25,2,26,28,1,3,1
P15,27,2,28,30,1,3,1
P16,29,2,30,32,1,3,1
P17,31,2,32,34,1,3,1
P18,33,2,34,36,1,3,1
P19,35,2,36,38,1,3,1
P20,37,2,38,40,1,3,1
P21,39,2,40,42,1,3,1
P22,41,2,42,44,1,3,1
P23,43,2,44,46,1,3,1
P24,45,2,46,48,1,3,1
P25,47,2,48,50,1,3,1
P26,49,2,50,52,1,3,1
AVG,,,,,0.96,5.96,2.88
